Filename, E/Es
Kag10L_R00_n01.odb, 0.0166712805176
Kag10L_R01_n01.odb, 0.0165968310547
Kag10L_R01_n02.odb, 0.016587890625
Kag10L_R01_n03.odb, 0.0165587841797
Kag10L_R01_n04.odb, 0.0165454077148
Kag10L_R01_n05.odb, 0.0165114807129
Kag10L_R01_n06.odb, 0.0165991699219
Kag10L_R01_n07.odb, 0.0166008166504
Kag10L_R01_n08.odb, 0.0165159558105
Kag10L_R01_n09.odb, 0.0165478527832
Kag10L_R01_n10.odb, 0.0165925073242
Kag10L_R01_n11.odb, 0.0166401220703
Kag10L_R01_n12.odb, 0.0165739355469
Kag10L_R01_n13.odb, 0.0165640649414
Kag10L_R01_n14.odb, 0.016555604248
Kag10L_R01_n15.odb, 0.0165907177734
Kag10L_R01_n16.odb, 0.0164631066895
Kag10L_R01_n17.odb, 0.0164945996094
Kag10L_R01_n18.odb, 0.01650796875
Kag10L_R01_n19.odb, 0.016533104248
Kag10L_R01_n20.odb, 0.0165839648438
Kag10L_R02_n01.odb, 0.0163443310547
Kag10L_R02_n02.odb, 0.0163493737793
Kag10L_R02_n03.odb, 0.0162462109375
Kag10L_R02_n04.odb, 0.0163043566895
Kag10L_R02_n05.odb, 0.0162862561035
Kag10L_R02_n06.odb, 0.0163311083984
Kag10L_R02_n07.odb, 0.0163083605957
Kag10L_R02_n08.odb, 0.0160959057617
Kag10L_R02_n09.odb, 0.0163876916504
Kag10L_R02_n10.odb, 0.0163693603516
Kag10L_R02_n11.odb, 0.0163625292969
Kag10L_R02_n12.odb, 0.0163360375977
Kag10L_R02_n13.odb, 0.0160574328613
Kag10L_R02_n14.odb, 0.0163652966309
Kag10L_R02_n15.odb, 0.0162658459473
Kag10L_R02_n16.odb, 0.0162438439941
Kag10L_R02_n17.odb, 0.0162697546387
Kag10L_R02_n18.odb, 0.0162606677246
Kag10L_R02_n19.odb, 0.0163013293457
Kag10L_R02_n20.odb, 0.0162179968262
Kag10L_R03_n01.odb, 0.015291385498
Kag10L_R03_n02.odb, 0.0158024523926
